"DATETIME","ROWID","CURRENT_AMP","VOLTAGE_VOLT","POWER_KW","PANELTEMPERATURE_C","INVERTER_TEMPERATURE_C","AMBIENTTEMPERATURE_C","GLOBALTILTEDIRRADIANCE_WM2","GLOBALHORIZONTALIRRADIANCE_WM2","MODULE_ALL_TOTALPOWER_KW"
2021-07-04-17.05.00.000000,10849,576.5,566.4,347.1,79.4,65.6,54.7,814.8,841.5,1101.01
2021-07-04-17.10.00.000000,10850,568.4,565.7,342.2,79.2,65.4,54.5,801.1,829.6,1085.28
2021-07-04-17.15.00.000000,10851,559.4,566.4,336.6,78.8,65.05,54.3,786.4,815.9,1067.7
2021-07-04-17.20.00.000000,10852,548.4,567.8,331.1,78.3,64.71,54.5,770.2,800.9,1050.08
2021-07-04-17.25.00.000000,10853,535.9,571.2,325.4,78.2,64.56,54.5,753.3,784.9,1032.1
2021-07-04-17.30.00.000000,10854,523.5,573.6,320.0,78.2,64.56,54.3,735.3,767.9,1014.96
2021-07-04-17.35.00.000000,10855,510.4,576.6,313.2,78.2,64.56,54.0,713.0,747.1,993.44
2021-07-04-17.40.00.000000,10856,492.3,581.0,304.2,77.9,64.33,53.9,678.9,715.3,964.65
2021-07-04-17.45.00.000000,10857,467.0,586.4,290.9,77.5,63.99,53.7,635.0,674.8,922.53
2021-07-04-17.50.00.000000,10858,436.0,592.5,274.0,76.7,63.33,53.4,584.3,626.7,869.13
2021-07-04-17.55.00.000000,10859,402.6,598.0,255.2,76.0,62.78,52.9,535.7,579.3,809.34
2021-07-04-18.00.00.000000,10860,368.8,602.0,235.5,75.0,61.91,52.4,489.1,532.4,746.86
2021-07-04-18.05.00.000000,10861,334.2,606.6,215.5,74.0,61.08,51.9,445.4,487.9,683.55
2021-07-04-18.10.00.000000,10862,300.5,610.4,195.0,72.6,59.93,51.3,402.5,443.4,618.46
2021-07-04-18.15.00.000000,10863,266.8,614.5,174.2,71.4,58.93,50.9,360.4,399.1,552.54
2021-07-04-18.20.00.000000,10864,237.4,617.0,155.5,70.3,58.03,50.6,322.1,358.3,493.25
2021-07-04-18.25.00.000000,10865,202.7,619.0,133.4,68.9,56.93,50.4,277.9,311.0,422.97
2021-07-04-18.30.00.000000,10866,172.2,620.9,113.7,67.9,56.03,50.1,239.0,268.9,360.46
2021-07-04-18.35.00.000000,10867,141.2,623.1,93.4,66.5,54.94,49.8,200.4,226.8,296.15
2021-07-04-18.40.00.000000,10868,110.7,624.4,73.5,65.3,53.95,49.5,161.9,184.3,232.99
2021-07-04-18.45.00.000000,10869,88.4,624.1,58.8,64.3,53.07,49.3,133.6,152.7,186.34
2021-07-04-18.50.00.000000,10870,75.6,623.1,50.2,63.7,52.57,49.3,116.8,134.0,159.31
2021-07-04-18.55.00.000000,10871,63.7,621.4,42.3,63.1,52.13,49.0,101.4,116.6,134.07
2021-07-04-19.00.00.000000,10872,0.0,0.0,0.0,57.5,43.88,44.6,0.0,0.0,0.0
2021-07-04-19.05.00.000000,10873,0.0,0.0,0.0,56.7,43.23,43.9,0.0,0.0,0.0
2021-07-04-19.10.00.000000,10874,0.0,0.0,0.0,55.8,42.59,43.2,0.0,0.0,0.0
2021-07-04-19.15.00.000000,10875,0.0,0.0,0.0,55.0,41.94,42.4,0.0,0.0,0.0
2021-07-04-19.20.00.000000,10876,0.0,0.0,0.0,54.1,41.3,41.7,0.0,0.0,0.0
2021-07-04-19.25.00.000000,10877,0.0,0.0,0.0,53.3,40.65,40.9,0.0,0.0,0.0
2021-07-04-19.30.00.000000,10878,0.0,0.0,0.0,52.5,40.0,40.2,0.0,0.0,0.0
2021-07-04-19.35.00.000000,10879,0.0,0.0,0.0,51.6,39.36,39.5,0.0,0.0,0.0
2021-07-04-19.40.00.000000,10880,0.0,0.0,0.0,50.8,38.71,38.7,0.0,0.0,0.0
2021-07-04-19.45.00.000000,10881,0.0,0.0,0.0,49.9,38.07,38.0,0.0,0.0,0.0
2021-07-04-19.50.00.000000,10882,0.0,0.0,0.0,49.1,37.42,37.2,0.0,0.0,0.0
2021-07-04-19.55.00.000000,10883,0.0,0.0,0.0,48.2,36.77,36.5,0.0,0.0,0.0
2021-07-04-20.00.00.000000,10884,0.0,0.0,0.0,47.4,36.13,35.8,0.0,0.0,0.0
2021-07-04-20.05.00.000000,10885,0.0,0.0,0.0,47.2,36.02,35.6,0.0,0.0,0.0
2021-07-04-20.10.00.000000,10886,0.0,0.0,0.0,42.0,32.04,31.1,0.0,0.0,0.0
2021-07-04-20.15.00.000000,10887,0.0,0.0,0.0,41.6,31.69,30.7,0.0,0.0,0.0
2021-07-04-20.20.00.000000,10888,0.0,0.0,0.0,41.1,31.34,30.3,0.0,0.0,0.0
2021-07-04-20.25.00.000000,10889,0.0,0.0,0.0,40.7,31.0,29.9,0.0,0.0,0.0
2021-07-04-20.30.00.000000,10890,0.0,0.0,0.0,40.2,30.65,29.5,0.0,0.0,0.0
2021-07-04-20.35.00.000000,10891,0.0,0.0,0.0,39.7,30.3,29.1,0.0,0.0,0.0
2021-07-04-20.40.00.000000,10892,0.0,0.0,0.0,39.3,29.95,28.7,0.0,0.0,0.0
2021-07-04-20.45.00.000000,10893,0.0,0.0,0.0,38.8,29.6,28.3,0.0,0.0,0.0
2021-07-04-20.50.00.000000,10894,0.0,0.0,0.0,38.4,29.25,27.9,0.0,0.0,0.0
2021-07-04-20.55.00.000000,10895,0.0,0.0,0.0,37.9,28.9,27.5,0.0,0.0,0.0
2021-07-04-21.00.00.000000,10896,0.0,0.0,0.0,37.4,28.55,27.1,0.0,0.0,0.0
2021-07-04-21.05.00.000000,10897,0.0,0.0,0.0,37.1,28.28,26.8,0.0,0.0,0.0
2021-07-04-21.10.00.000000,10898,0.0,0.0,0.0,36.8,28.02,26.5,0.0,0.0,0.0
2021-07-04-21.15.00.000000,10899,0.0,0.0,0.0,36.4,27.75,26.2,0.0,0.0,0.0
2021-07-04-21.20.00.000000,10900,0.0,0.0,0.0,36.1,27.49,25.9,0.0,0.0,0.0
2021-07-04-21.25.00.000000,10901,0.0,0.0,0.0,35.7,27.22,25.6,0.0,0.0,0.0
2021-07-04-21.30.00.000000,10902,0.0,0.0,0.0,35.4,26.96,25.3,0.0,0.0,0.0
2021-07-04-21.35.00.000000,10903,0.0,0.0,0.0,35.0,26.69,25.0,0.0,0.0,0.0
2021-07-04-21.40.00.000000,10904,0.0,0.0,0.0,34.7,26.43,24.7,0.0,0.0,0.0
2021-07-04-21.45.00.000000,10905,0.0,0.0,0.0,34.3,26.16,24.3,0.0,0.0,0.0
2021-07-04-21.50.00.000000,10906,0.0,0.0,0.0,34.0,25.9,24.0,0.0,0.0,0.0
2021-07-04-21.55.00.000000,10907,0.0,0.0,0.0,33.6,25.63,23.7,0.0,0.0,0.0
2021-07-04-22.00.00.000000,10908,0.0,0.0,0.0,32.8,24.99,23.0,0.0,0.0,0.0
2021-07-04-22.05.00.000000,10909,0.0,0.0,0.0,32.8,24.97,23.0,0.0,0.0,0.0
2021-07-04-22.10.00.000000,10910,0.0,0.0,0.0,32.7,24.95,23.0,0.0,0.0,0.0
2021-07-04-22.15.00.000000,10911,0.0,0.0,0.0,32.7,24.93,22.9,0.0,0.0,0.0
2021-07-04-22.20.00.000000,10912,0.0,0.0,0.0,32.7,24.92,22.9,0.0,0.0,0.0
2021-07-04-22.25.00.000000,10913,0.0,0.0,0.0,32.7,24.9,22.9,0.0,0.0,0.0
2021-07-04-22.30.00.000000,10914,0.0,0.0,0.0,32.6,24.88,22.9,0.0,0.0,0.0
2021-07-04-22.35.00.000000,10915,0.0,0.0,0.0,32.6,24.86,22.9,0.0,0.0,0.0
2021-07-04-22.40.00.000000,10916,0.0,0.0,0.0,32.6,24.84,22.8,0.0,0.0,0.0
2021-07-04-22.45.00.000000,10917,0.0,0.0,0.0,32.6,24.82,22.8,0.0,0.0,0.0
2021-07-04-22.50.00.000000,10918,0.0,0.0,0.0,32.5,24.8,22.8,0.0,0.0,0.0
2021-07-04-22.55.00.000000,10919,0.0,0.0,0.0,32.5,24.78,22.8,0.0,0.0,0.0
2021-07-04-23.00.00.000000,10920,0.0,0.0,0.0,32.5,24.76,22.7,0.0,0.0,0.0
2021-07-04-23.05.00.000000,10921,0.0,0.0,0.0,32.5,24.74,22.7,0.0,0.0,0.0
2021-07-04-23.10.00.000000,10922,0.0,0.0,0.0,32.4,24.71,22.7,0.0,0.0,0.0
2021-07-04-23.15.00.000000,10923,0.0,0.0,0.0,32.4,24.69,22.7,0.0,0.0,0.0
2021-07-04-23.20.00.000000,10924,0.0,0.0,0.0,32.4,24.66,22.6,0.0,0.0,0.0
2021-07-04-23.25.00.000000,10925,0.0,0.0,0.0,32.3,24.64,22.6,0.0,0.0,0.0
2021-07-04-23.30.00.000000,10926,0.0,0.0,0.0,32.3,24.61,22.6,0.0,0.0,0.0
2021-07-04-23.35.00.000000,10927,0.0,0.0,0.0,32.3,24.58,22.5,0.0,0.0,0.0
2021-07-04-23.40.00.000000,10928,0.0,0.0,0.0,32.2,24.56,22.5,0.0,0.0,0.0
2021-07-04-23.45.00.000000,10929,0.0,0.0,0.0,32.2,24.53,22.5,0.0,0.0,0.0
2021-07-04-23.50.00.000000,10930,0.0,0.0,0.0,32.2,24.51,22.4,0.0,0.0,0.0
2021-07-04-23.55.00.000000,10931,0.0,0.0,0.0,32.1,24.48,22.4,0.0,0.0,0.0
2021-07-05-00.00.00.000000,10932,0.0,0.0,0.0,32.1,24.45,22.4,0.0,0.0,0.0
2021-07-05-00.05.00.000000,10933,0.0,0.0,0.0,32.1,24.47,22.4,0.0,0.0,0.0
2021-07-05-00.10.00.000000,10934,0.0,0.0,0.0,32.2,24.5,22.4,0.0,0.0,0.0
2021-07-05-00.15.00.000000,10935,0.0,0.0,0.0,32.2,24.52,22.5,0.0,0.0,0.0
2021-07-05-00.20.00.000000,10936,0.0,0.0,0.0,32.2,24.54,22.5,0.0,0.0,0.0
2021-07-05-00.25.00.000000,10937,0.0,0.0,0.0,32.2,24.56,22.5,0.0,0.0,0.0
2021-07-05-00.30.00.000000,10938,0.0,0.0,0.0,32.3,24.58,22.5,0.0,0.0,0.0
2021-07-05-00.35.00.000000,10939,0.0,0.0,0.0,32.3,24.6,22.6,0.0,0.0,0.0
2021-07-05-00.40.00.000000,10940,0.0,0.0,0.0,32.3,24.62,22.6,0.0,0.0,0.0
2021-07-05-00.45.00.000000,10941,0.0,0.0,0.0,32.4,24.64,22.6,0.0,0.0,0.0
2021-07-05-00.50.00.000000,10942,0.0,0.0,0.0,32.4,24.66,22.6,0.0,0.0,0.0
2021-07-05-00.55.00.000000,10943,0.0,0.0,0.0,32.4,24.68,22.7,0.0,0.0,0.0
2021-07-05-01.00.00.000000,10944,0.0,0.0,0.0,32.4,24.7,22.7,0.0,0.0,0.0
2021-07-05-01.05.00.000000,10945,0.0,0.0,0.0,31.8,24.22,22.1,0.0,0.0,0.0
2021-07-05-01.10.00.000000,10946,0.0,0.0,0.0,31.8,24.25,22.2,0.0,0.0,0.0
2021-07-05-01.15.00.000000,10947,0.0,0.0,0.0,31.9,24.27,22.2,0.0,0.0,0.0
2021-07-05-01.20.00.000000,10948,0.0,0.0,0.0,31.9,24.3,22.2,0.0,0.0,0.0
2021-07-05-01.25.00.000000,10949,0.0,0.0,0.0,31.9,24.32,22.2,0.0,0.0,0.0
2021-07-05-01.30.00.000000,10950,0.0,0.0,0.0,32.0,24.34,22.3,0.0,0.0,0.0
2021-07-05-01.35.00.000000,10951,0.0,0.0,0.0,32.0,24.37,22.3,0.0,0.0,0.0
2021-07-05-01.40.00.000000,10952,0.0,0.0,0.0,32.0,24.39,22.3,0.0,0.0,0.0
2021-07-05-01.45.00.000000,10953,0.0,0.0,0.0,32.1,24.42,22.3,0.0,0.0,0.0
2021-07-05-01.50.00.000000,10954,0.0,0.0,0.0,32.1,24.44,22.4,0.0,0.0,0.0
2021-07-05-01.55.00.000000,10955,0.0,0.0,0.0,32.1,24.47,22.4,0.0,0.0,0.0
2021-07-05-02.00.00.000000,10956,0.0,0.0,0.0,32.2,24.49,22.4,0.0,0.0,0.0
2021-07-05-02.05.00.000000,10957,0.0,0.0,0.0,32.2,24.54,22.5,0.0,0.0,0.0
2021-07-05-02.10.00.000000,10958,0.0,0.0,0.0,32.3,24.59,22.5,0.0,0.0,0.0
2021-07-05-02.15.00.000000,10959,0.0,0.0,0.0,32.4,24.64,22.6,0.0,0.0,0.0
2021-07-05-02.20.00.000000,10960,0.0,0.0,0.0,32.4,24.7,22.7,0.0,0.0,0.0
2021-07-05-02.25.00.000000,10961,0.0,0.0,0.0,32.5,24.75,22.7,0.0,0.0,0.0
2021-07-05-02.30.00.000000,10962,0.0,0.0,0.0,32.6,24.8,22.8,0.0,0.0,0.0
2021-07-05-02.35.00.000000,10963,0.0,0.0,0.0,32.6,24.85,22.8,0.0,0.0,0.0
2021-07-05-02.40.00.000000,10964,0.0,0.0,0.0,32.7,24.9,22.9,0.0,0.0,0.0
2021-07-05-02.45.00.000000,10965,0.0,0.0,0.0,32.8,24.95,23.0,0.0,0.0,0.0
2021-06-30-17.20.00.000000,9700,530.2,561.6,316.3,84.9,71.71,65.0,747.2,762.4,1416.34
2021-06-30-17.25.00.000000,9701,519.9,563.8,311.3,84.5,71.44,64.4,732.4,748.1,1393.88
2021-06-30-17.30.00.000000,9702,511.2,566.3,307.0,84.1,71.1,64.3,719.9,736.9,1374.77
2021-06-30-17.35.00.000000,9703,505.1,567.7,304.2,83.8,70.82,64.3,710.8,729.4,1362.45
2021-06-30-17.40.00.000000,9704,499.0,568.3,302.4,83.5,70.54,64.4,703.8,725.6,1353.98
2021-06-30-17.45.00.000000,9705,435.5,571.4,265.3,83.1,70.23,64.3,618.3,724.5,1187.82
2021-06-30-17.50.00.000000,9706,377.8,578.8,233.3,82.6,69.79,63.7,547.5,724.2,1044.62
2021-06-30-17.55.00.000000,9707,364.6,583.1,226.3,82.0,69.29,62.9,526.2,659.9,1013.38
2021-06-30-18.00.00.000000,9708,413.0,584.8,256.5,81.6,68.91,62.4,587.5,664.7,1148.74
2021-06-30-18.05.00.000000,9709,391.2,587.8,243.8,81.0,68.46,62.2,572.9,664.7,1091.51
2021-06-30-18.10.00.000000,9710,339.9,595.1,214.3,80.4,67.94,61.8,495.5,624.9,959.45
2021-06-30-18.15.00.000000,9711,254.7,604.2,163.5,79.6,67.26,61.3,376.9,339.5,732.02
2021-06-30-18.20.00.000000,9712,238.5,607.9,154.0,78.5,66.34,60.5,329.9,333.4,689.71
2021-06-30-18.25.00.000000,9713,219.5,608.1,141.8,77.4,65.4,60.0,305.7,335.5,635.02
2021-06-30-18.30.00.000000,9714,212.8,605.1,137.0,75.9,64.15,59.4,293.8,319.4,613.52
2021-06-30-18.35.00.000000,9715,206.3,602.8,132.4,74.9,63.26,59.1,282.3,305.7,592.69
2021-06-30-18.40.00.000000,9716,183.4,601.1,117.5,73.9,62.4,58.7,249.6,275.0,525.98
2021-06-30-18.45.00.000000,9717,152.7,596.3,97.5,73.0,61.66,58.1,209.3,226.3,436.54
2021-06-30-18.50.00.000000,9718,112.5,588.8,71.0,72.2,60.97,57.7,152.0,155.1,317.98
2021-06-30-18.55.00.000000,9719,76.8,582.3,47.6,71.2,60.13,57.4,104.1,110.8,213.13
2021-06-30-19.00.00.000000,9720,66.0,579.3,40.7,70.3,59.35,57.2,88.7,97.7,182.43
2021-06-30-19.05.00.000000,9721,67.6,582.2,41.9,69.2,58.45,56.7,92.2,102.6,187.73
2021-06-30-19.10.00.000000,9722,69.1,585.7,43.0,68.3,57.69,56.2,97.8,109.6,192.69
2021-06-30-19.15.00.000000,9723,74.7,589.7,46.7,67.9,57.33,55.8,107.9,122.8,209.03
2021-06-30-19.20.00.000000,9724,69.8,590.4,43.6,67.4,56.96,55.8,104.9,116.6,195.28
2021-06-30-19.25.00.000000,9725,0.0,0.0,0.0,62.0,48.39,49.8,0.0,0.0,0.0
2021-06-30-19.30.00.000000,9726,0.0,0.0,0.0,61.2,47.74,49.1,0.0,0.0,0.0
2021-06-30-19.35.00.000000,9727,0.0,0.0,0.0,60.4,47.1,48.3,0.0,0.0,0.0
2021-06-30-19.40.00.000000,9728,0.0,0.0,0.0,59.5,46.45,47.6,0.0,0.0,0.0
2021-06-30-19.45.00.000000,9729,0.0,0.0,0.0,58.7,45.81,46.8,0.0,0.0,0.0
2021-06-30-19.50.00.000000,9730,0.0,0.0,0.0,57.9,45.16,46.1,0.0,0.0,0.0
2021-06-30-19.55.00.000000,9731,0.0,0.0,0.0,57.1,44.52,45.4,0.0,0.0,0.0
2021-06-30-20.00.00.000000,9732,0.0,0.0,0.0,56.2,43.87,44.6,0.0,0.0,0.0
2021-06-30-20.05.00.000000,9733,0.0,0.0,0.0,56.1,43.76,44.5,0.0,0.0,0.0
2021-06-30-20.10.00.000000,9734,0.0,0.0,0.0,45.8,35.76,35.3,0.0,0.0,0.0
2021-06-30-20.15.00.000000,9735,0.0,0.0,0.0,45.4,35.41,34.9,0.0,0.0,0.0
2021-06-30-20.20.00.000000,9736,0.0,0.0,0.0,44.9,35.06,34.5,0.0,0.0,0.0
2021-06-30-20.25.00.000000,9737,0.0,0.0,0.0,44.5,34.71,34.1,0.0,0.0,0.0
2021-06-30-20.30.00.000000,9738,0.0,0.0,0.0,44.0,34.36,33.7,0.0,0.0,0.0
2021-06-30-20.35.00.000000,9739,0.0,0.0,0.0,43.6,34.01,33.3,0.0,0.0,0.0
2021-06-30-20.40.00.000000,9740,0.0,0.0,0.0,43.2,33.66,32.9,0.0,0.0,0.0
2021-06-30-20.45.00.000000,9741,0.0,0.0,0.0,42.7,33.31,32.5,0.0,0.0,0.0
2021-06-30-20.50.00.000000,9742,0.0,0.0,0.0,42.3,32.96,32.1,0.0,0.0,0.0
2021-06-30-20.55.00.000000,9743,0.0,0.0,0.0,41.8,32.61,31.7,0.0,0.0,0.0
2021-06-30-21.00.00.000000,9744,0.0,0.0,0.0,41.4,32.27,31.3,0.0,0.0,0.0
2021-06-30-21.05.00.000000,9745,0.0,0.0,0.0,41.0,32.0,31.0,0.0,0.0,0.0
2021-06-30-21.10.00.000000,9746,0.0,0.0,0.0,40.7,31.73,30.7,0.0,0.0,0.0
2021-06-30-21.15.00.000000,9747,0.0,0.0,0.0,40.3,31.47,30.4,0.0,0.0,0.0
2021-06-30-21.20.00.000000,9748,0.0,0.0,0.0,40.0,31.2,30.1,0.0,0.0,0.0
2021-06-30-21.25.00.000000,9749,0.0,0.0,0.0,39.7,30.94,29.8,0.0,0.0,0.0
2021-06-30-21.30.00.000000,9750,0.0,0.0,0.0,39.3,30.67,29.5,0.0,0.0,0.0
2021-06-30-21.35.00.000000,9751,0.0,0.0,0.0,39.0,30.41,29.2,0.0,0.0,0.0
2021-06-30-21.40.00.000000,9752,0.0,0.0,0.0,38.7,30.14,28.9,0.0,0.0,0.0
2021-06-30-21.45.00.000000,9753,0.0,0.0,0.0,38.3,29.88,28.6,0.0,0.0,0.0
2021-06-30-21.50.00.000000,9754,0.0,0.0,0.0,38.0,29.61,28.3,0.0,0.0,0.0
2021-06-30-21.55.00.000000,9755,0.0,0.0,0.0,37.6,29.35,28.0,0.0,0.0,0.0
2021-06-30-22.00.00.000000,9756,0.0,0.0,0.0,36.8,28.71,27.3,0.0,0.0,0.0
2021-06-30-22.05.00.000000,9757,0.0,0.0,0.0,36.8,28.69,27.2,0.0,0.0,0.0
2021-06-30-22.10.00.000000,9758,0.0,0.0,0.0,36.8,28.67,27.2,0.0,0.0,0.0
2021-06-30-22.15.00.000000,9759,0.0,0.0,0.0,36.7,28.65,27.2,0.0,0.0,0.0
2021-06-30-22.20.00.000000,9760,0.0,0.0,0.0,36.7,28.63,27.2,0.0,0.0,0.0
2021-06-30-22.25.00.000000,9761,0.0,0.0,0.0,36.7,28.61,27.2,0.0,0.0,0.0
2021-06-30-22.30.00.000000,9762,0.0,0.0,0.0,36.7,28.59,27.1,0.0,0.0,0.0
2021-06-30-22.35.00.000000,9763,0.0,0.0,0.0,36.6,28.58,27.1,0.0,0.0,0.0
2021-06-30-22.40.00.000000,9764,0.0,0.0,0.0,36.6,28.56,27.1,0.0,0.0,0.0
2021-06-30-22.45.00.000000,9765,0.0,0.0,0.0,36.6,28.54,27.1,0.0,0.0,0.0
2021-06-30-22.50.00.000000,9766,0.0,0.0,0.0,36.6,28.52,27.0,0.0,0.0,0.0
2021-06-30-22.55.00.000000,9767,0.0,0.0,0.0,36.6,28.5,27.0,0.0,0.0,0.0
2021-06-30-23.00.00.000000,9768,0.0,0.0,0.0,36.5,28.48,27.0,0.0,0.0,0.0
2021-06-30-23.05.00.000000,9769,0.0,0.0,0.0,36.5,28.45,27.0,0.0,0.0,0.0
2021-06-30-23.10.00.000000,9770,0.0,0.0,0.0,36.5,28.43,26.9,0.0,0.0,0.0
2021-06-30-23.15.00.000000,9771,0.0,0.0,0.0,36.4,28.4,26.9,0.0,0.0,0.0
2021-06-30-23.20.00.000000,9772,0.0,0.0,0.0,36.4,28.38,26.9,0.0,0.0,0.0
2021-06-30-23.25.00.000000,9773,0.0,0.0,0.0,36.4,28.35,26.9,0.0,0.0,0.0
2021-06-30-23.30.00.000000,9774,0.0,0.0,0.0,36.3,28.33,26.8,0.0,0.0,0.0
2021-06-30-23.35.00.000000,9775,0.0,0.0,0.0,36.3,28.3,26.8,0.0,0.0,0.0
2021-06-30-23.40.00.000000,9776,0.0,0.0,0.0,36.3,28.27,26.8,0.0,0.0,0.0
2021-06-30-23.45.00.000000,9777,0.0,0.0,0.0,36.2,28.25,26.7,0.0,0.0,0.0
2021-06-30-23.50.00.000000,9778,0.0,0.0,0.0,36.2,28.22,26.7,0.0,0.0,0.0
2021-06-30-23.55.00.000000,9779,0.0,0.0,0.0,36.2,28.2,26.7,0.0,0.0,0.0
2021-07-01-00.00.00.000000,9780,0.0,0.0,0.0,36.1,28.17,26.6,0.0,0.0,0.0
2021-07-01-00.05.00.000000,9781,0.0,0.0,0.0,36.2,28.19,26.7,0.0,0.0,0.0
2021-07-01-00.10.00.000000,9782,0.0,0.0,0.0,36.2,28.21,26.7,0.0,0.0,0.0
2021-07-01-00.15.00.000000,9783,0.0,0.0,0.0,36.2,28.23,26.7,0.0,0.0,0.0
2021-07-01-00.20.00.000000,9784,0.0,0.0,0.0,36.3,28.25,26.7,0.0,0.0,0.0
2021-07-01-00.25.00.000000,9785,0.0,0.0,0.0,36.3,28.27,26.8,0.0,0.0,0.0
2021-07-01-00.30.00.000000,9786,0.0,0.0,0.0,36.3,28.29,26.8,0.0,0.0,0.0
2021-07-01-00.35.00.000000,9787,0.0,0.0,0.0,36.3,28.32,26.8,0.0,0.0,0.0
2021-07-01-00.40.00.000000,9788,0.0,0.0,0.0,36.4,28.34,26.8,0.0,0.0,0.0
2021-07-01-00.45.00.000000,9789,0.0,0.0,0.0,36.4,28.36,26.9,0.0,0.0,0.0
2021-07-01-00.50.00.000000,9790,0.0,0.0,0.0,36.4,28.38,26.9,0.0,0.0,0.0
2021-07-01-00.55.00.000000,9791,0.0,0.0,0.0,36.4,28.4,26.9,0.0,0.0,0.0
2021-07-01-01.00.00.000000,9792,0.0,0.0,0.0,36.5,28.42,26.9,0.0,0.0,0.0
2021-07-01-01.05.00.000000,9793,0.0,0.0,0.0,30.7,23.91,21.8,0.0,0.0,0.0
2021-07-01-01.10.00.000000,9794,0.0,0.0,0.0,30.7,23.94,21.8,0.0,0.0,0.0
2021-07-01-01.15.00.000000,9795,0.0,0.0,0.0,30.8,23.96,21.8,0.0,0.0,0.0
2021-07-01-01.20.00.000000,9796,0.0,0.0,0.0,30.8,23.99,21.9,0.0,0.0,0.0
2021-07-01-01.25.00.000000,9797,0.0,0.0,0.0,30.8,24.01,21.9,0.0,0.0,0.0
2021-07-01-01.30.00.000000,9798,0.0,0.0,0.0,30.8,24.04,21.9,0.0,0.0,0.0
2021-07-01-01.35.00.000000,9799,0.0,0.0,0.0,30.9,24.06,21.9,0.0,0.0,0.0
2021-07-01-01.40.00.000000,9800,0.0,0.0,0.0,30.9,24.08,22.0,0.0,0.0,0.0
2021-07-01-01.45.00.000000,9801,0.0,0.0,0.0,30.9,24.11,22.0,0.0,0.0,0.0
2021-07-01-01.50.00.000000,9802,0.0,0.0,0.0,31.0,24.13,22.0,0.0,0.0,0.0
2021-07-01-01.55.00.000000,9803,0.0,0.0,0.0,31.0,24.16,22.0,0.0,0.0,0.0
2021-07-01-02.00.00.000000,9804,0.0,0.0,0.0,31.0,24.18,22.1,0.0,0.0,0.0
2021-07-01-02.05.00.000000,9805,0.0,0.0,0.0,31.1,24.23,22.1,0.0,0.0,0.0
2021-07-01-02.10.00.000000,9806,0.0,0.0,0.0,31.2,24.28,22.2,0.0,0.0,0.0
2021-07-01-02.15.00.000000,9807,0.0,0.0,0.0,31.2,24.33,22.3,0.0,0.0,0.0
2021-07-01-02.20.00.000000,9808,0.0,0.0,0.0,31.3,24.39,22.3,0.0,0.0,0.0
2021-07-01-02.25.00.000000,9809,0.0,0.0,0.0,31.4,24.44,22.4,0.0,0.0,0.0
2021-07-01-02.30.00.000000,9810,0.0,0.0,0.0,31.4,24.49,22.4,0.0,0.0,0.0
2021-07-01-02.35.00.000000,9811,0.0,0.0,0.0,31.5,24.54,22.5,0.0,0.0,0.0
2021-07-01-02.40.00.000000,9812,0.0,0.0,0.0,31.6,24.59,22.5,0.0,0.0,0.0
2021-07-01-02.45.00.000000,9813,0.0,0.0,0.0,31.6,24.64,22.6,0.0,0.0,0.0
2021-07-01-02.50.00.000000,9814,0.0,0.0,0.0,31.7,24.69,22.7,0.0,0.0,0.0
2021-07-01-02.55.00.000000,9815,0.0,0.0,0.0,31.8,24.74,22.7,0.0,0.0,0.0
2021-07-01-03.00.00.000000,9816,0.0,0.0,0.0,31.8,24.79,22.8,0.0,0.0,0.0
2021-07-01-03.05.00.000000,9817,0.0,0.0,0.0,32.0,24.92,22.9,0.0,0.0,0.0
2021-07-01-03.10.00.000000,9818,0.0,0.0,0.0,32.2,25.05,23.1,0.0,0.0,0.0
2021-07-01-03.15.00.000000,9819,0.0,0.0,0.0,32.3,25.18,23.2,0.0,0.0,0.0
2021-07-01-03.20.00.000000,9820,0.0,0.0,0.0,32.5,25.31,23.4,0.0,0.0,0.0
2021-07-01-03.25.00.000000,9821,0.0,0.0,0.0,32.7,25.44,23.5,0.0,0.0,0.0
2021-07-01-03.30.00.000000,9822,0.0,0.0,0.0,32.8,25.57,23.7,0.0,0.0,0.0
2021-07-01-03.35.00.000000,9823,0.0,0.0,0.0,33.0,25.7,23.8,0.0,0.0,0.0
2021-07-01-03.40.00.000000,9824,0.0,0.0,0.0,33.2,25.83,24.0,0.0,0.0,0.0
2021-07-01-03.45.00.000000,9825,0.0,0.0,0.0,33.3,25.96,24.1,0.0,0.0,0.0
2021-07-01-03.50.00.000000,9826,0.0,0.0,0.0,33.5,26.09,24.3,0.0,0.0,0.0
2021-07-01-03.55.00.000000,9827,0.0,0.0,0.0,33.7,26.22,24.4,0.0,0.0,0.0
2021-07-01-04.00.00.000000,9828,0.0,0.0,0.0,33.8,26.35,24.6,0.0,0.0,0.0
2021-07-01-04.05.00.000000,9829,0.0,0.0,0.0,34.0,26.44,24.7,0.0,0.0,0.0
2021-07-01-04.10.00.000000,9830,0.0,0.0,0.0,34.1,26.53,24.8,0.0,0.0,0.0
2021-07-01-04.15.00.000000,9831,0.0,0.0,0.0,34.2,26.62,24.9,0.0,0.0,0.0
2021-07-01-04.20.00.000000,9832,0.0,0.0,0.0,34.3,26.71,25.0,0.0,0.0,0.0
2021-07-01-04.25.00.000000,9833,0.0,0.0,0.0,34.4,26.8,25.1,0.0,0.0,0.0
